"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R4,R5,R1,R3";"R_0402_1005Metric";4;"1K5";;;
2;"SW1";"SW_SPDT_PCM12";1;"SW_SPDT";;;
3;"C9,C10";"C_0402_1005Metric";2;"1uF";;;
4;"J3,J4,J2";"PinHeader_1x04_P2.54mm_Vertical";3;"Conn_01x04_Pin";;;
5;"D1";"LED_0603_1608Metric";1;"RED";;;
6;"FB1";"L_0603_1608Metric";1;"FerriteBead";;;
7;"C6,C11,C4,C7,C5";"C_0402_1005Metric";5;"100nF";;;
8;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
9;"R2";"R_0402_1005Metric";1;"10K";;;
10;"C13,C12";"C_0402_1005Metric";2;"10pF";;;
11;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
12;"C1,C2";"C_0805_2012Metric";2;"22uF";;;
13;"C3";"C_0603_1608Metric";1;"10uF";;;
14;"C8";"C_0603_1608Metric";1;"10nF";;;
15;"U2";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8T6";;;
16;"J1";"USB_Micro-B_Wuerth_629105150521";1;"USB_B_Micro";;;
